bhk,area_sqft,furnishing_status,location_type,mainroad_access,floor_number,parking_spaces,house_age,price
1,2835,Furnished,Rural,Yes,2,2,22,7866652
5,1690,Unfurnished,Rural,Yes,9,1,29,6568163
5,1505,Semi-Furnished,Suburban,No,6,3,14,7136371
3,535,Unfurnished,Urban,No,10,0,14,3692172
1,1243,Furnished,Rural,No,8,2,7,4049609
4,2264,Furnished,Rural,Yes,3,1,15,7893514
2,852,Furnished,Suburban,Yes,7,1,18,4183367
2,2422,Furnished,Rural,No,2,1,10,7128880
5,572,Semi-Furnished,Urban,Yes,6,0,1,5122768
3,1876,Furnished,Suburban,No,2,2,22,6798475
2,2414,Semi-Furnished,Urban,Yes,6,0,23,7861073
1,1593,Furnished,Urban,Yes,10,0,16,5800332
5,2972,Semi-Furnished,Suburban,No,9,0,27,9853273
4,1207,Unfurnished,Rural,No,9,3,25,4912754
5,2304,Furnished,Urban,No,10,3,15,9607145
4,1455,Semi-Furnished,Urban,No,10,3,24,6637419
5,2975,Unfurnished,Urban,No,5,2,14,10777065
5,659,Furnished,Urban,Yes,1,0,12,5494701
5,2696,Furnished,Suburban,Yes,10,0,14,10228767
4,2235,Furnished,Suburban,Yes,2,3,26,8696026
4,2085,Semi-Furnished,Urban,No,5,0,3,8243217
5,566,Semi-Furnished,Rural,No,3,0,15,3498555
2,2928,Unfurnished,Urban,No,5,1,29,8700045
3,557,Semi-Furnished,Rural,No,0,0,11,2968401
3,841,Semi-Furnished,Urban,No,9,1,29,4318288
3,1653,Furnished,Rural,No,0,0,3,5834029
4,1695,Furnished,Urban,Yes,2,2,2,7865692
4,1732,Furnished,Rural,Yes,7,3,21,6945179
2,2901,Furnished,Urban,Yes,7,1,16,9689782
3,1994,Furnished,Urban,Yes,10,3,21,8221776
3,2321,Furnished,Rural,Yes,3,1,17,7731007
5,615,Furnished,Suburban,No,5,1,24,4689092
4,1161,Unfurnished,Rural,No,7,1,17,4737195
3,1965,Unfurnished,Suburban,No,6,2,22,6647642
2,3000,Unfurnished,Urban,No,10,0,27,8717723
2,2368,Unfurnished,Rural,No,6,1,16,6899322
3,2834,Furnished,Rural,No,3,2,11,9130115
4,1516,Unfurnished,Rural,Yes,8,1,22,6255165
2,810,Furnished,Suburban,No,9,0,20,3254555
5,707,Unfurnished,Suburban,No,5,1,23,4461120
2,2993,Semi-Furnished,Urban,No,10,2,3,9616659
1,1132,Unfurnished,Suburban,No,2,0,11,3336142
1,2602,Unfurnished,Suburban,Yes,4,2,25,7502826
4,1156,Furnished,Urban,Yes,4,0,22,5977470
3,1923,Unfurnished,Rural,No,4,0,21,6471134
